External ID,Location/Display Name,Product/Internal Reference,Product/Name,Product/Internal Category/Name,Quantity,Reserved Quantity
__export__.stock_quant_409329_14dd1c03,AMPRU/Stock,AMP-S052,CyberMetal,Saleable,26,12
__export__.stock_quant_409404_5a37465f,AMPRU/Stock,AMP-X223,Герметичный корпус 64×58×35,Saleable,16,0
__export__.stock_quant_409673_d1193c29,AMPRU/Stock,IRL104A2B,Лазерный модуль,Saleable,10,3
__export__.stock_quant_410440_9fd6ee61,AMPRU/Stock,AMP-W039,"Монтажный провод НВ-4 (0,35 мм², 10 м, красный)",Saleable,23,0
__export__.stock_quant_412221_505dbfd9,AMPRU/Stock,AMP-B093,Светодиодная RGB матрица 4×4 (Troyka-модуль),Saleable,34,24
__export__.stock_quant_412618_4b841644,AMPRU/Stock,AMP-B124,USB-UART преобразователь (Troyka-модуль),Saleable,23,0
__export__.stock_quant_412633_fcdfb167,AMPRU/Stock,AMP-X010,Светодиод 5 мм инфракрасный,Saleable,18,0
__export__.stock_quant_412690_583ceb0f,AMPRU/Stock,AMP-B174,Адаптер Raspberry Pi Breakout,Saleable,7,0
__export__.stock_quant_413098_1d8c21cf,AMPRU/Stock,AMP-X682,Книга Паяльник в лапах,Materials Kits,1,0
__export__.stock_quant_413633_f77941bb,AMPRU/Stock,AMP-B028,Драйвер шагового двигателя (Troyka-модуль),Saleable,1,0
__export__.stock_quant_414154_10e5920a,AMPRU/Stock,1PK-501A,Бокорезы,Saleable,7,0
__export__.stock_quant_414322_dcf784ae,AMPRU/Stock,AMP-F006,Сервопривод постоянного вращения Feetech FS5113R / 360°,Saleable,24,0
__export__.stock_quant_414892_757fdd5a,AMPRU/Stock,AMP-X753,Самые нужные резисторы (13×10 шт.),Saleable,53,1
__export__.stock_quant_415625_67a3c0da,AMPRU/Stock,AMP-X166,DIP-панель для микросхемы (16 ног),Saleable,20,0
__export__.stock_quant_416017_b980574e,AMPRU/Stock,AMP-X209,Линейный регулятор напряжения LD1117V33,Saleable,22,0
__export__.stock_quant_416163_3e9d7611,AMPRU/Stock,AMP-X583,PLA-пластик FDplast / чёрный,Saleable,8,0
__export__.stock_quant_416227_ae758092,AMPRU/Stock,AMP-V16381,Цветной IPS-дисплей для Raspberry Pi 5” / 800×480 / DPI,Saleable,9,0
